provisionID,AgtID,AgtName,provisionLocation,originalProvisionText
39,864,Tokyo Declaration Partnership for Self-Reliance in Afghanistan from Transition to Transformation (Tokyo Conference),21,"...The Participants reaffirmed the importance for Afghanistan to attain a fully professional, capable and accountable ANSF that protects the civilian population, in particular women and children..."
40,864,Tokyo Declaration Partnership for Self-Reliance in Afghanistan from Transition to Transformation (Tokyo Conference),51,"...respect for the Afghan Constitution, including its human rights provisions, notably the rights of women"
41,864,Tokyo Declaration Partnership for Self-Reliance in Afghanistan from Transition to Transformation (Tokyo Conference),57,The Participants also stressed the importance of the participation of civil society organizations and women's groups...
42,864,Tokyo Declaration Partnership for Self-Reliance in Afghanistan from Transition to Transformation (Tokyo Conference),34,"...The Afghan Government affirmed that the human rights and fundamental freedoms of its citizens, in particular the equality of men and women, are guaranteed under the Constitution and Afghanistan's international human rights obligations."
43,864,Tokyo Declaration Partnership for Self-Reliance in Afghanistan from Transition to Transformation (Tokyo Conference),52,"In this context, the importance of job creation and initiatives targeting youth and women employment should be emphasized."
44,864,Tokyo Declaration Partnership for Self-Reliance in Afghanistan from Transition to Transformation (Tokyo Conference),56,"The Participants reaffirmed that a thriving and free civil society based on respect for human rights and fundamental freedoms, in particular the equality of men and women, enshrined in the Afghan Constitution, will be key to achieving a more pluralistic society in Afghanistan."
45,864,Tokyo Declaration Partnership for Self-Reliance in Afghanistan from Transition to Transformation (Tokyo Conference),56,"...a thriving and free civil society based on respect for human rights and fundamental freedoms, in particular the equality of men and women, enshrined in the Afghan Constitution..."
46,864,Tokyo Declaration Partnership for Self-Reliance in Afghanistan from Transition to Transformation (Tokyo Conference),69,"...progress from the past decade in areas that underpin sustained economic growth and development, especially for women and girls, such as education, health and other basic services, as well as strengthened respect for human rights, must continue."
47,864,Tokyo Declaration Partnership for Self-Reliance in Afghanistan from Transition to Transformation (Tokyo Conference),76,Strengthened governance and institutions with a particular focus on the rights of women are prerequisites ...
48,864,Tokyo Declaration Partnership for Self-Reliance in Afghanistan from Transition to Transformation (Tokyo Conference),77,"Conduct credible, inclusive and transparent Presidential and Parliamentary elections [...] in which eligible Afghan citizens, men and women, have the opportunity to participate freely without internal or external interference in accordance with the law."
49,864,Tokyo Declaration Partnership for Self-Reliance in Afghanistan from Transition to Transformation (Tokyo Conference),79,"Goal: Improve access to justice for all , in particular women, [...]; ensure that women can fully enjoy their economic, social, civil, political and cultural rights; fight against corruption, including strengthening counter-narcotics efforts; [...]. Indicators: Ensure respect for human rights for all citizens, in particular for women and children..."
50,864,Tokyo Declaration Partnership for Self-Reliance in Afghanistan from Transition to Transformation (Tokyo Conference),96,"...Ensure adequate resource allocations to achieve Afghanistan's Millennium Development Goal (MDG) targets for [...] gender, [...] and use of MDG indicators to measure progress"
51,1923,Agreement between the two campaign teams regarding the structure of the national unity government,4,"the national unity government will fulfill the aspirations of the Afghan public [...] with particular attention to women, youth, Ulema, and vulnerable persons..."
52,1923,Agreement between the two campaign teams regarding the structure of the national unity government,4,"...lead to equitable (Barabarguna) representation from both parties, and with attention to inclusivity and the political and societal composition of the country, with particular attention to women and youth, ...."
53,1739,Agreement between the Islamic Republic of Afghanistan and Hizb-e-Islami,8,Both parties believe that all people both man and woman enjoy equal right and responsibility before law indiscriminately and without concession.
54,2232,"Resolution of Intra Afghan Peace Conference in Doha, Qatar (Doha Roadmap for Peace)",72,"Assuring women [sic] rights in political, social, economic, educational, cultural affairs as per within the Islamic framework of Islamic Values."
