Con,Contp,PP,PPName,Reg,AgtId,Ver,Agt,Dat,Status,Lgt,N_characters,Agtp,Stage,StageSub,Part,ThrdPart,OthAgr,Loc1ISO,Loc2ISO,Loc1GWNO,Loc2GWNO,UcdpCon,UcdpAgr,PamAgr,CowWar,Interim,WggPar,WggGenQuot,WggEffPart,WggCitizen,WggParOth,WggEq,WggEqGen,WggSocEq,WggEqOth,WggGrp,WggIndNom,WggRefDisp,WggPreg,WggGrpOth,WggIntLaw,WggHR,WggHrSta,WggUnsc,WggIntLawOth,WggNewInst,WggInstWom,WggInf,WggRecon,WggNewInstOth,WggVio,WggVioSex,WggVioGen,WggVioProt,WggVioOth,WggTraJus,WggPast,WggPri,WggTraJusOth,WggInstRef,WggConst,WggLawRef,WggJud,WggPol,WggDdr,WggPubAdm,WggInstRefOth,WggDev,WggDevGen,WggRehab,WggEdu,WggHea,WggRepro,WggDevOth,WggImpl,WggImplRole,WggImplSign,WggImplOth,WggOth
Afghanistan,Government,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,1054,1,Berlin Declaration (Berlin Conference),2004-04-01,Multiparty signed/agreed,3,7536,InterIntra,Imp,ExtSub,"Document not signed, but background documents and reporting note participants as:
Hamid Karzai - President, Afghanistan
Abd Allah Abd Allah - Foreign Minister, Afghanistan
Khurshid Mahmud Kasuri - Foreign Minister, Pakistan
Li Zhaoxing - Foreign Minister, China
Colin Powell - Secretary of State, United States
Alexander Downer - Foreign Minister, Australia
Jack Straw - Foreign Minister, United Kingdom
Brian Cowen - Minister of Foreign Affairs, Ireland
Hwang Doo-Yun - South Korea
Sergey Lavrov - Minister of Foreign Affairs, Russian Federation
Sadako Ogata - Japan
Jaap de Hoop Scheffer - NATO Secretary General
Jean Arnault - United Nations envoy to Afghanistan","As well as representatives from the following countries:

Austria, Belgium, Bulgaria, Croatia, Republic of Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Canada, Iceland, Norway, Kyrgyzstan, Tajikistan, Uzbekistan

 and others, with a total of 65 signatory countries and organisations","Page 1, Untitled Preamble
...
Noting with satisfaction the substantial progress achieved under the Bonn Agreement of December 2001 in fostering peace, stability, national unity, democratization, and economic development in Afghanistan

Page 1, Untitled Preamble 
...
Welcoming the contributions and pledges towards Afghanistan’s reconstruction and reform programs made by countries at the Tokyo Conference of January 2002

Page 2, Untitled Preamble
...
Determined to complete the Bonn Process by creating the conditions under which the people of Afghanistan can freely determine their own political future by establishing a fully representative government through free and fair elections in a secure and peaceful environment
...
Determined to continue, in the spirit of the Bonn Agreement, as a common endeavor [sic] of the Afghan people and the international community

Page 3, 3
Welcome the further steps made by Afghanistan and its neighbors [sic] to foster regional cooperation under the auspices of the Kabul Declaration on Good Neighbourly Relations from December 22, 2002, in particular, the Declaration on Counter-Narcotics annexed  herewith 

Page 3, Untitled Article
Reform on the basis that Afghanistan and the international community shall continue to sustain a lasting partnership for the future, which will allow Afghanistan to complete the transition process begun with the Bonn Agreement",AFG,,700,,333,,,225,No,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,Government,88,Philippines-NDF process,Asia and Pacific,98,1,The Second Oslo Joint Statement,2004-04-03,Multiparty signed/agreed,8,15707,Intra,Imp,ImpOth,"In behalf of the GOVERNMENT OF THE REPUBLIC OF THE PHILIPPINES,
SILVESTRE H. BELLO III, GRP Panel Chairperson

In behalf of the NATIONAL DEMOCRATIC FRONT OF THE PHILIPPINES,
LUIS G. JALANDONI, NDFP Panel Chairperson","Witnessed by:

TORE HATTREM, ROYAL NORWEIGAN GOVERNMENT, Third Party Facilitator

All delegates and third party also listed in the Agreement (See notes)


THIS SHOULD BE IN NOTES--> (over the limit for allowed characters)
(The GRP delegation was headed by Secretary Teresita Quintos-Deles, Presidential Adviser on the Peace Process. Included in the delegation are: Panel Chairman Silvestre H. Bello III, Panel Members Undersecretary Jose Luis Martin Gascon, Atty. Rene V. Sarmiento and Ms. Ana Theresia Hontiveros-Baraquel; Panel Adviser Edgardo Pamintuan and Panel Consultant Gov. Luis Chavit Singson; RWC-SER Members: Rebecca Tañada, Atty. Sedfrey M. Candelaria and Assistant Secretary Ma. Cleofe Gettie C. Sandoval; JMC Members Atty. Carlos P. Medina Jr., Atty. Robert L. Larga and Atty. Edgardo B. Gayos; Executive Director and Panel Secretariat Head Ma. Carla Munsayac-Villarta; Secretariat Staff Coordinator for SER Oscar B. Bathan and Secretariat Staff Coordinator for JMC Fe A. Oaing.

The NDFP delegation included Luis G. Jalandoni as chairperson of the NDFP Negotiating Panel and Fidel V. Agcaoili, Julieta de Lima, Coni Ledesma and Asterio Palima as members of the NDFP Negotiating Panel; Prof. Jose Maria Sison, Chief Political Consultant, UN Ad Litem Judge Romeo T. Capulong, Senior Legal Consultant of the NDFP Negotiating Panel, Jose Danilo Borjal and Rey Claro Casambre, Consultants of the Panel, Atty. Jayson Lamchek, Special Legal Consultant on the Issue of Terrorism, Ruth de Leon, Head of the Secretariat; Atty. Marie F. Yuvienco, Legal Consultant on Social and Economic Reforms, Rafael Baylosis and Randall Echanis, members of the Reciprocal Working Committee on Social and Economic Reforms and Ms. Vivian de Lima, Economics Consultant, Lualhati Roque and Alvin Firmeza, staff and researchers; Atty. Edre U. Olalia, Legal Consultant for the JMC, Marie Hilao-Enriquez, Independent Observer in the JMC.

Iglesia Filipina Independiente Supreme Bishop Tomas A. Millamena attended as Third Party Depositary and Independent Observer in the JMC.)","Page 1, Article 1. On Effective Measures Undertaken to Resolve the Issue of ""Terrorist"" Listing
[...]
In accordance with the 14 February 2004 Oslo Joint Statement, the Parties reaffirmed their commitment to the mutually acceptable principle of national sovereignty as set forth in the Hague Joint Declaration.

Page 1, Article 1. On Effective Measures Undertaken to Resolve the Issue of ""Terrorist"" Listing
[...]
c. the protection of their rights under the Comprehensive Agreement on Respect for Human Rights and International Humanitarian Law (CARHRIHL); and",PHL,,840,,209,,,790,No,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan/(Darfur),Government/territory,21,Darfur-Sudan peace process,Africa (excl MENA),647,1,Humanitarian Ceasefire Agreement on the Conflict in Darfur,2004-04-08,Multiparty signed/agreed,6,7913,Intra,Cea,Ceas,"For the Sudan Liberation Movement/Army (SLM/A): Mini Arkou Minawi, Secretary General; For the Government of the Sudan (GOS): Acherif Ahmad Oumar Badour, Minister for Investment; For the Sudanese Justice and Equality Movement (SJEM): Nasradine Hussein Diffallah, President","[Note: Preamble also mentions that agreement was under the auspices of Idriss Deby, President of the Republic of Chad assisted by the Chairperson of the Commission of the African Union]

For the Tchadian Mediation: Nagoum Yamassoum, Minister of State, Minstry of Foreign Affairs and African Integration; For the African Union: Sam B. Ibok, Representative of the Chairperson of the Commission; Mahamat Saleh Hamid, Deputy Secretary General",,SDN,,625,,309,,,927,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Sudan/Sudan/(Southern Kordofan - Blue Nile - Abyei),Government/territory,111,Kordofan - Blue Nile - Abyei process,Africa (excl MENA),496,1,Protocol between the Government of Sudan and the Sudan People's Liberation Movement on the Resolution of Conflict in Southern Kordofan/Nuba Mountains and the Blue Nile States,2004-05-26,Multiparty signed/agreed,18,22940,Intra,SubPar,MultIss,"Government of Sudan, Sudan's People Lieration Movement (SPLM) [Uploaded document does not contain signatures of Parties or Third Parties]",[Uploaded document does not contain signatures of Parties or Third Parties],Wealth Sharing Agreement; Agreement on the Security Arrangements,SDN,,625,,309,1281,,836,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
South Sudan/Sudan,Government/territory,109,Sudanese (North-South) peace process,Africa (excl MENA),498,1,Protocol between the Government of the Sudan and the Sudan People's Liberation Movement (SPLM) on Power Sharing,2004-05-26,Multiparty signed/agreed,63,73712,Intra,SubPar,Iss,[Uploaded document does not include signatures] The Government of Sudan (GOS) and the Sudan People's Liberation Movement (SPLM),"[Uploaded document does not include signatures, therefore it is difficult to determine Third Parties]",Comprehensive Peace Agreement between the Government of Sudan and the SPLM/SPLA (09/01/2005); Machakos Protocol (20/07/2002); Framework Agreement on Wealth Sharing During the Pre-interim and Interim Periods between the Govt of the Sudan and the Sudan People’s Liberation Movement/Sudan People’s Liberation Army (07/01/2004),SSD,SDN,626,625,309,1279,,836,Yes,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Iraq,Government,59,Iraq peace process - second Iraq war,Middle East and North Africa,682,1,UN Security Council Resolution 1546,2004-06-08,Unilateral document,11,19197,InterIntra,SubPar,Iss,United Nations Security Council,,resolution 1511 (2003) of 16 October 2003; letter of the Secretary-General of 7 June 2004 (S/2004/461); resolution 1483 (2003) of 22 May 2003,IRQ,,645,,420,,,227,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Inter-group,148,Burundi: Local Process,Africa (excl MENA),2034,2,"Contract of peaceful cohabitation (neighbourhood Teza ii of Kamenge), Burundi",2004-06-30,Multiparty signed/agreed,3,5034,IntraLocal,Imp,ExtSub,"Approved by 150 people living in the neighbourhood of Teza II, representing all segments of the population. 

On behalf of the inhabitants of Teza II, the Committee elected: [Name & Signature]

    The representative of young people living in Kamenge : [Name & Signature]
     The representative of young people displaced:  [Name & Signature]
    The representative men living in Kamenge:  [Name & Signature]
    The representative of internally displaced men:  [Name & Signature]
    The representative of women living in Kamenge: [Name & Signature]
     The representative of displaced women:  [Name & Signature]","Bishop Dacillia Joseph, alias Buyengero",,BDI,,516,,287,NA,NA,918,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Burundi,Government,16,Burundi: Arusha and related peace process,Africa (excl MENA),202,1,Accord de Partage de Pouvoir au Burundi,2004-08-06,Multiparty signed/agreed,5,8354,Intra,SubPar,Iss,"Signatories Parties of Arusha Peace Agreement and Ceasefire Agreements: Abasa, Anadde (listed but not signed), CNDD, CNDD-FDD (listed but not signed), FNL-ICANZO, FRODEBU, FROLINA, Green Party, INKINZO (listed but not signed), KAZA-FDD, PALIPE AGAKIZA, PARENA (listed but not signed), PIT, PL, PRP (listed but not signed), PSD (listed but not signed), RADDES (listed but not signed), RPB, UPRONA (listed but not signed)
Parties Non Signatories (of aforementioned agreements): ALIDE (listed but not signed), MRC (listed but not signed), NADDEBU, PACONA (listed but not signed), PADER, PAJUDE, PPDRR, RUSANGI, SONOVI, UPD
President of the Republic of Burundi: Domitien Ndayizeye","Witnesses: 
Facilitator of Burundi Peace Process, Representative of African Union, UN Representative","- Arusha Agreement on Peace and Reconciliation in Burundi
- the Global Ceasefire Agreements",BDI,,516,,287,1532,,918,No,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan/(Darfur),Government/territory,21,Darfur-Sudan peace process,Africa (excl MENA),91,1,"Protocol between the Government of Sudan, SLM/A and the JEM on the Improvement of the Humanitarian Situation in Darfur",2004-11-09,Multiparty signed/agreed,5,9688,Intra,Imp,ImpMod,Government of Sudan signed for by Magzoub el-Khalifa (as Head of Delegation); Justice and Equality Movement signed for by Ahmed Mohmed Tugod Lissan (as Gender Coordinator/Head of Delegation); The Sudan Liberation Movement/Army signed for by Minni Minawi (General Secretary),"Ambassador Oluyemi Adenji, CON, Minister of Foreign Affairs for the Federal Republic of Nigeria and Chair of AU; Ambassador Allam-Mi Ahmad, as the Chadian Co-Mediation; Ambassador Sam B. Bok, as AU Commission;","Humanitarian Ceasefire Agreement, signed in N'djamena, Chad, on 8 Aprii 2004 [hereinafter the N'Djamena Agreement]; Protocol on the Establishment of Humanitarian Assistance in Darfur, and the Agreement on the Modalities for the Establishment of the Ceasefire Commission (CFC) and the Deployment of Observers in Darfur, signed in Addis Ababa, Ethiopia, on 28 May 2004 [hereinafter the Addis Ababa Agreement]; UNSC Resolution 1556 (2004)",SDN,,625,,309,,,927,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola/Burundi/Central African Republic/Democratic Republic of Congo/Kenya/Republic of Congo/Rwanda/Sudan/Tanzania/Uganda/Zambia/(African Great Lakes),Government,6,African Great Lakes: Regional Process,Africa (excl MENA),349,1,"Dar-Es-Salaam Declaration on Peace, Security, Democracy and Development in the Great Lakes Region",2004-11-20,Multiparty signed/agreed,13,25689,InterIntra,SubPar,MultIss,"H.E. JOSE EDUARDO DOS SANTOS, President of the Republic of Angola; H.E. DOMITIEN NDAYIZEYE, President of the Republic of Burundi; H.E. FRANCOIS BOZIZE, President of the Republic of the Central African Republic; H.E DENIS SASSOU NGUESSO, President of the Republic of Congo; H.E. JOSEPH KABILI, President of the Republic of the Democratic Republic of Congo; H.E. MWAI KIBAKI, President of the Republic of Kenya; H.E. PAUBL KAGAMGE, President of the Republic of Rawanda; H.E OMAR HASSAN AL-BASHIR, President of the Republic of the Sudan; H.E. BENJAMIN WILLIAM MKAPA, President of the Republic of Tanzania; H.E. YOWRI KAGUTA MOUSEVENI, President of the Republic of Uganda; H.E. LEVY MWANAWASA, President of the Republic of Zambia","Witnesses: H.E. THABO MBEKI, President of the Republic of South Africa; H.E. OMAR BONGO ONDIMBA, President of the Republic of Gabonese Republic; H.E BINGU WA MUTHARIKA, President of the Republic of Malawi; H.E. JOAQUIM CHISSANO, President of the Republic of Mozambique; H.E. SAM NUJOMA, President of the Republic of Namibia; H.E. OLUSEGUN OBASANJO, President of the Republic of Nigeria and current Chairperson of Africa Union; H.E. ROBERT G. MUGABE, President of the Republic of Zimbabwe; H.E. KOFI ANNAN, Secretary-General of the United Nations; H.E. ALPHA OUMAR KONARE, Chairperson of the African Union Commission",,,,,,283,,,905,No,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0
South Sudan/Sudan,Government/territory,109,Sudanese (North-South) peace process,Africa (excl MENA),270,1,Agreement on Permanent Ceasefire and Security Arrangements Implementation Modalities between the Government of Sudan (GOS) and the Sudan People's Liberation Movement/People's Liberation Army (SPLM/SPLA) During the Pre-interim and Interim Periods,2004-12-31,Multiparty signed/agreed,50,64602,Intra,Cea,Ceas,"Lt. Gen. Mohamed Elhassan El Fadil, for the Government of Sudan; Cdr. Taban Deng Gai, for the Sudan People's Liberation Movement/Army","WITNESSED BY: Lt. Gen. Lazaro K. Sum be iy wo (Rtd), Ambassador and Kenya Special Envoy for the Sudan Peace Process","Page 1, Untitled Preamble
WHEREAS the Government of the Republic of the Sudan and the Sudan People's Liberation Movement/Sudan People's Liberation Army hereinafter referred to as the ""Parties"" have concluded the Agreement on Security Arranements Durin the Interim Period, dated 25th  September, 2003; 

Page 1, Untitled Preamble
AND WHEREAS the Parties havin met in Nairobi and Naivasha, Kenya, from 27th June 2004 throuh 31st December, 2004 under the auspices of the Inter-Governmental Authority on Development (IGAD) Peace Process to neotiate a Comprehensive and Permanent Ceasefire Areement to supplement the Areement on Security Arranements in order to achieve a Comprehensive Peace Agreement in the Sudan; 

Page 1, Untitled Preamble
NOW RECORD THAT the Parties have reached specific Agreement on Permanent Ceasefire and Security Arrangements Implementation Modalities during the Pre-Interim and Interim Periods, the initialed text of which is annexed hereto and shall be an integral part of the Comprehensive Peace Agreement. 

Page 3, Preamble
RECOGNIZE that a viable ceasefire can meaninfully be realized through adherence and commitment to the Machakos Protocol dated 20th July 2002, Agreement on Security Arranements During the Interim Period, dated 25th September 2003, the Protocol on Power Sharing dated 26th May, 2004, Protocol on the Resolution of the Conflict in Southern Kordofan/Nuba Mountains and Blue Nile States dated 26th May 2004 and the Protocol on the Resolution of the Conflict in Abyei Area dated 26th  May 2004; 

Page 3, Preamble
RECALL the Memorandum of Understanding on Cessation of Hostilities between the GOS and SPLM/A signed on 15th October, 2002 and its addendum of 4th February 2003 that have ushered in periods of tranquility; 

Page 5, Part One - The Ceasefire Arrangements, 2. Entry into Force:
The Ceasefire Agreement (hereinafter referred to as the Agreement or this Agreement) shall come into effect from the date of signature of the Comprehensive Peace Agreement (that day hereafter referred to as D-Day). 

Page 19, Part One, 15. UN Peace Support Mission
15.4. For the purpose of monitoring activities related to the ceasefire, the international monitors shall have unrestricted access in accordance with a Status of Forces Agreement (SOFA), which shall be concluded with the United Nations as soon as possible. Such SOFA shall contain the provisions agreed to by the Parties with the United Nations immediately following the conclusion of the Comprehensive Peace Agreement. 

Page 23, Part Two, The Armed Forces, 18. Redeployment:
18.7. After the JIUs deployment in Abyei, all other forces shall be redeployed outside the area. However, the size JIUs Battalion in Abyei shall conform to JIUs organizational standards according to the Protocol between the Government of Sudan and the Sudan People's Liberation Movement on the Resolution of the Conflict in Abyei Area of 26th  May, 2004. 

Page 30, Part Two, The Armed Forces, 21. Funding of the Armed Forces:
21.1. During the Interim Period, SAF forces and JIUs shall be funded by the National Government, whereas the SPLA forces shall be funded by the Government of Southern Sudan, subject to the principle of proportional downsizing as per Security Arrangements Protocol and the approval of Southern Sudan Legislature. To meet this obligation, the Government of Southern Sudan shall raise financial resources from both local and foreign sources and seek international assistance. These financial resources shall be channeled through the Bank of Southern Sudan and managed according to the principles of Wealth Sharing Protocol.",SSD,SDN,626,625,309,,,836,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Sudan/Sudan,Government/territory,109,Sudanese (North-South) peace process,Africa (excl MENA),337,1,Comprehensive Peace Agreement between the Government of the Republic of the Sudan and the Sudan People's Liberation Army/Sudan People's Liberation Movement (Naivasha Agreement),2005-01-09,Multiparty signed/agreed,245,337474,Intra,SubComp,FrAg,"H.E. Ali Osman Mohamed Taha, First Vice President of the Republic of the Sudan on behalf of the Government of the Republic of the Sudan; Dr. John Garang de Mabior, Chairman of the Sudan People's Liberation Movement/Sudan People's Liberation Army on behalf of the Sudan People's Liberation Movement/Sudan People's Liberation Army","WITNESSED BY: H.E. Hon. Mwai Kibaki, President of the Republic of Kenya on behalf of the IGAD Sub-Committee on the Sudan; H.E. Hon. Yowaeri Kaguta Museveni, President of the Republic of Uganda on behalf of IGAD Member States; H.E. Mr. Ahmed Aboul Gheit, Egyptian Minister of Foreign Affairs on behalf of the Government of the Republic of Egypt; Senator Alfredo Mantica, Deputy Minister for Foreign Affairs on behalf of the Government of Italy; H.E. Mr. Fred Racka, Special Envoy of the Netherlands on behalf of the Royal Kingdom of the Netherlands; H.E. Ms. Hilde F. Johnson, Minister of International Development on behalf of the Royal Norwegian Government; Right Hon. Hilary Benn, M.P., Secretary of State for International Development on behalf of the United Kingdom and Northern Ireland; Mr. Colin L. Powell, United States Secretary of State, on behalf of the United States of America; H.E. Mr. Alpha Oumar Konare, Chairperson of the African Union on behalf of the African Union; Hon. Charles Goerens, Minister of Development Co-operation of Netherlands on behalf of the European Union; H.E. Ms. Hilde F. Johnson, Minister of International Development on behalf of the IGAD Partners Forum (IPF); Senator Alfredo Mantic, Deputy Minister for Foreign Affairs on behalf of the IGAD Partners Forum (IPF); H.E. Mr. Amre Mousse, Secretary General of the League of Arab States on behalf of the League of Arab States; H.E. Jan Pronk, Special Representative of the Secretary General in the Sudan on behalf of the United Nations","Page 9, Chapeau of the Comprehensive Peace Agreement
RECORDING AND RECONFIRMING that in pursuance of this commitment the Parties duly reached agreement on the following texts: the Machakos Protocol, dated 20th July, 2002 which is set out in Chapter I of the Comprehensive Peace Agreement (CPA); the Agreement on Security Arrangements, dated 25th September, 2003 which is set out in Chapter VI of the CPA; the Agreement on Wealth Sharing, dated 7th January 2004, which is set out in Chapter II of the CPA; the Protocol on Power Sharing, dated 26th May, 2004, which is set out in Chapter V of the CPA; and the Protocol on the Resolution of the Conflict in Abyei Area, dated 26th May, 2004, which is is set out in Chapter IV of the CPA; and that the Security Council of the United Nations in its Resolution 1574 of 19th November, 2004, took notes of these aforementioned Protocols and Agreements; 

Page 9-10, Chapeau of the Comprehensive Peace Agreement
RECOGNIZING that the Parties have concluded an Agreement on a Permanent Ceasefire and Security Arrangements Implementation Modalities During the Pre-Interim and Interim Period dated 31st December, 2004, which is set out in Annexure I of the CPA, within the Framework of the Agreement on Security Arrangements of 25th September, 2003; 

Page 10,  Chapeau of the Comprehensive Peace Agreement
FURTHER RECOGNIZING that the Parties have also concluded the Agreement on the Implementation Modalities of the Protocol and Agreements dated 31st December, 2004 which is set out in Annexure II of the CPA; 

Page 10, Chapeau of the Comprehensive Peace Agreement
NOW THEREFORE, THE PARTIES AGREE, upon signing this Agreement, on the following: 
(2) The CPA shall be comprised of the texts of the Protocols and Agreements already signed, together with this Chapeau, the Agreement on Permanent Ceasefire and Security Arrangements Implementaiton Modalities and Appendices as Annexure I and the Agreement on the Implementation Modalities and the Global Implementation Matrix and Appendices as Annexure II; 

Page 17, Chapter I – The Machakos Protocol 
THE PREAMBLE, PRINCIPLES, AND THE TRANSITION PROCESS
COMMITTED to a negotiated, peaceful, comprehensive resolution to the conflict based on the Declaration of Principles (DOP) for the benefit of all the people of the Sudan;",SSD,SDN,626,625,309,1282,24,836,Yes,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Burundi,Government,16,Burundi: Arusha and related peace process,Africa (excl MENA),1421,1,Constitution of 18 March 2005,2005-03-18,Multiparty signed/agreed,63,114566,Intra,SubComp,FrCons,The Constitution was passed by the Burundian National Assembly.,,"- Agreement of Arusha for Peace and Reconciliation in Burundi of August the 28th, 2000 and with the Agreements of Cease-Fire",BDI,,516,,287,,,918,No,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Sudan,Government/territory,109,Sudanese (North-South) peace process,Africa (excl MENA),1060,1,Agreement between the Government of Sudan and the National Democratic Alliance (NDA) (Cairo Agreement),2005-06-18,Multiparty signed/agreed,8,22195,Intra,SubComp,FrAg,[Uploaded document does not include signatures] The Government of Sudan (GoS) and the National Democratic Alliance (NDA).,"[Uploaded document does not include signatures, but the below provision indicates the Government of Egypt mediated]

Page 1, Untitled Preamble,
Whereas the GoS and the NDA (the Parties to the Agreement) have held a series of rounds of negotiation in Jeddah and Cairo culminating in the Cairo Meeting held from 14-16th June 2005 under the auspices of the Government of Egypt;","Page 1, Untitled Preamble,
[...] Acknowledging the decision by the two parties that the point of reference between them in these talks is the Framework Agreement signed between them in Jeddah, Saudi Arabia on the 4th December 2003 and the Comprehensive Peace Agreement signed in Nairobi between the GoS and the SPLM/A in January 9th, 2005,

Page 4, 5. Decentralized Government,
5.1. The Two Parties agree that the federal system of governance is the most appropriate system for governing the Sudan. It enables the people of Sudan to rule themselves and run their own affairs. The parties shall work to support the federal system in compliance to the schedules annexed in the Protocol on Wealth Sharing in confirmation of participation and in a bid to expand development and support the powers of the states. 
5.2. The Two Parties agree to generalize to all states in the Sudan the model of the peace agreement on federal government as stipulated in the protocols on Power and Wealth Sharing. 

Page 5, 7. Nationalism for the civil services,
7.1. The Two Parties subscribe to the provisions of Article 2-6 of the Protocol on Power Sharing signed between the GoS and the SPLM concerning public service and that is in a bid to consolidate the independence and impartiality of the public service and in confirmation of its active role. 

Page 5, 8. Nationalism of the Armed and other regular forces,
8.1. The Two Parties confirm that a peaceful solution and comprehensive resolving of the problems obligate, as per the Jeddah Framework Agreement and the Comprehensive Peace Agreement confirmation of nationalism and professionalism of the armed forces and the other regular forces and the security organs and that they should not be biased on political grounds.",SDN,,625,,309,1351,NA,836,No,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Sri Lanka,Government/territory,114,Sri Lanka LTTE 2002 onward process,Asia and Pacific,1012,1,Memorandum of Understanding for the Establishment of a Post-Tsunami Operational Management Structure (P-TOMS),2005-06-27,Multiparty signed/agreed,6,12667,Intra,SubPar,Iss,Government of Sri Lanka and Liberation Tigers of Tamil Eelam,,2003 Ceasefire,LKA,,780,,352,,,835,No,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
