Con,Contp,PP,PPName,Reg,AgtId,Ver,Agt,Dat,Status,Lgt,N_characters,Agtp,Stage,StageSub,Part,ThrdPart,OthAgr,Loc1ISO,Loc2ISO,UcdpCon,UcdpAgr,PamAgr,CowWar,Interim,description,agt_type,stage_label,stage - sort,stage_short,agt_dat,PAX_Hyperlink,PAX_Generate_PDF,PDF_Hyperlink,year
Yemen,Territory,122,Yemen unification process,Middle East and North Africa,264,1,Agreement Establishing a Union between the State of the Yemen Arab Republic and the State of the People's Democratic Republic of Yemen,1990-04-22,Multiparty signed/agreed,2.0,4486,InterIntra,SubPar,Iss,"Colonel Ali Abdallah Saleh, President of the Republic Commander-in-Chief of the Armed Forces, Secretary-General of the General People's Congress. 

Ali Salem A1-Beidh, Secretary-General of the Central Committee of the Yemeni Socialist Party",,,YEM,,402.0,1534,,,Yes,"This is a short agreement providing for unification of the Yemen Arab Republic and the People's Democratic Republic of Yemen, to become ""the Republic of Yemen."" It establishes an interim Presidential Council to form the government of the Republic of Yemen, and to undertake functions authorized by the Constitution.",Interstate/mixed,"Framework-substantive, partial",3,Substantive Partial,Agreement Establishing a Union between the State of the Yemen Arab Republic and the State of the People's Democratic Republic of Yemen (22/04/1990),https://pax.peaceagreements.org/agreements/264/,https://pax.peaceagreements.org/agreements/coding264/,https://pax.peaceagreements.org/media/documents/ag264_55c88fffab6fe.pdf,1990
South Africa,Government,105,South Africa peace process,Africa (excl MENA),395,1,Groot Schuur Minute,1990-05-04,Multiparty signed/agreed,2.0,2548,Intra,Pre,Conf,"Government of South Africa, ANC",,,ZAF,,345.0,1393,,,No,"The Parties agree to establish working group to define political offences and consider mechanisms for dealing with amnesties and prisoner releases, with a view to facilitating further negotiations between the parties.",Intrastate,Pre-negotiation,1,Pre-negotiation,Groot Schuur Minute (04/05/1990),https://pax.peaceagreements.org/agreements/395/,https://pax.peaceagreements.org/agreements/coding395/,https://pax.peaceagreements.org/media/documents/ag395_55fad0cde6851.pdf,1990
El Salvador,Government,36,El Salvador peace process,Americas,387,1,"General Agenda and Timetable for the Comprehensive Negotiating Process, Caracas",1990-05-21,Multiparty signed/agreed,4.0,4097,Intra,Pre,Proc,"Representing the Government of El Salvador: (Signed) Colonel Juan A. MARTINEZ VARELA; (Signed) Mr. Oscar Alfredo SANTAMARIA; (Signed) Colonel Mauricio Ernesto VARGAS; (Signed) Mr. Abelardo TORRES; (Signed) Mr. David ESCOBAR GALINDO; (Signed) Mr. Rafael HERNAN CONTRERAS;

Representing the Frente Farabundo Martí para la Liberación Nacional:​ (Signed) Commander Schafik HANDAL; (Signed) Commander Eduardo SANCHO;(Signed) Ana Guadelupe MARTINEZ; (Signed) Salvador SAMAYOA; (Signed) Dagoberto GUTIERREZ; (Signed) Marta VALLADARES; (Signed) Roberto CANAS;","(Signed) Alvaro de SOTO, Representative of the Secretary-General of the United Nations;","Page 3, B. TIMETABLE
In the light of the general agenda for the comprehensive negotiating process set forth in the preceding section, the Government of El Salvador and FMLN agree that the initial objective set forth in paragraph 1 of the Geneva Agreement of 4 April 1990 should be achieved by the middle of September 1990, provided that agreements are reached which are synchronized, have implementation timetables and can be verified where appropriate, so as to ensure that all the components of the initial objective are duly coordinated.

Page 3, B. TIMETABLE
... On the basis of the above understandings, the Government and FMLN shall, as their first substantive priority, concentrate on negotiating the political agreements envisaged under the initial objective.",SLV,,316.0,1103,,817,No,"Initial objective to achieve political agreements for halt to armed confrontation and any acts that infringe rights of civilians, including agreement on armed forces; human rights; judicial system; electoral system; constitutional reform; economic and social issues; and verification by the UN.  Agenda also to include establishment of necessary guarantees and conditions for reintegrating members of the FMLN into civilian institutional and political life, and agreements for the consolidation of the objectives of earlier Geneva Agreement.  Agreed on schedule and set deadline for achievement of initial paragraph 1 of the Geneva Agreement, for middle of September. Agreed agenda for future negotiations to halt armed confrontation and achieve political agreements; agreement on topics to all into first, second and third phase of negotiations, respectively",Intrastate,Pre-negotiation,1,Pre-negotiation,"General Agenda and Timetable for the Comprehensive Negotiating Process, Caracas (21/05/1990)",https://pax.peaceagreements.org/agreements/387/,https://pax.peaceagreements.org/agreements/coding387/,https://pax.peaceagreements.org/media/documents/ag387_57f762389dcad.pdf,1990
Nicaragua,Government,29,Nicaragua contra process,Americas,578,1,The Managua Protocol on Disarmament,1990-05-30,Multiparty signed/agreed,3.0,4974,Intra,Cea,Rel,"President of the Republic, Resistance Forces",Nicaraguan Cardinal Miguel Obando y Bravo,,NIC,,336.0,1522,,828,No,Agreement detailing demobilization and reintegration of Nicaraguan resistance forces and treatment of their families to certain designted 'development' areas; Govt undertaking to appoint reps of the demobilized combatants to the relevant Ministries and to allow them to participate in local government. Provides for possibility of the resistance to become a political party.,Intrastate,Ceasefire,2,Ceasefire,The Managua Protocol on Disarmament (30/05/1990),https://pax.peaceagreements.org/agreements/578/,https://pax.peaceagreements.org/agreements/coding578/,https://pax.peaceagreements.org/media/documents/ag578_56323ca447e19.pdf,1990
Guatemala,Government,45,Guatemala peace process,Americas,704,1,El Escorial Agreement,1990-06-01,Multiparty signed/agreed,6.0,6856,Intra,SubPar,Iss,"POR LA INSTANCIA DE PARTIDOS POLITICOS: Ingeniero CARLOS ENRIQUE CHAVARRIA, Secretario General del Partido Revolucionario PR;
Doctor LUIS FLORES ASTURIAS, Secretario General del Partido de Avanzada Nacional PAN;
Licenciado ABUNDIO MALDONADO, Secretario General del Partido Frente de Avance Nacional FAN;
Doctor MIGUEL ANGEL MONTEPEQUE, Secretario General en funciones del Movimiento de Accion Solidaria MAS;
Licenciado RENAN QUINONES, Secretario General del Partido Nacional Renovador PNR;
Licenciado MARIO SANDOVAL ALARCON, Secretario General del Partido, Movimento de Liberacion Nacional MLN;
Licenciado CARLONS FERNANDO RIVERS SANDOVAL, Movimiento de Liberacion Nacional, MLN;
Doctor MARIO SOLORZANO MARTINEZ, Secretario General del Partido Socialista Democratico, PSD;
Licenciada CATALINA SOBERANIS, Secretaria General en funciones, Partido Democracia Cristiana Guatemalteca, DCG;
Licenciado OLIVERIO GARCIA RODAS, Partido Union del Centro Nacional, UCN, COMISION NACIONAL DE RECONCILIACION (CNR);
Ingeniero JORGE SERRANO ELIAS, Delegado Titular de los Partidos Politicos de Oposicion;

UNIDAD REVOLUCIONARIA NACIONAL GUATEMALTECA:
Comandante PABLO MONSANTO;
Comandante, GASPAR ILOM;
CARLOS GONZALEZ, Secretario General del Comite Central del Partido Guatemalteco del Trabajo;
LUIS BECKER;
MIGUEL ANGEL SANDOVAL;
FRANCISCO VILLAGRAN MUNOZ;","OBSERVADOR REPRESENTANTE DEL SECRETARIO GENERAL DE LAS NACIONES UNIDAS, FRANCESC VENDRELL;
Periodista TERESA B. DE ZARCO, Ciudadana Notable Titular;
Doctor EDUARDO MEYER MALDONADO, Delegado Suplente del Gobierno;

COMISION NACIONAL DE RECONCILIACION (CNR):
Monsenor GERARDEI CONDERA, Delegado Suplente de la Conferencia, Episcopal de Guatemala;
Coronel FRANCISCO LUIS GORDILLO, Delegado Suplente de los Partidos, Politicos de Oposicion;
Licenciado MARIO PERMUTH, Ciudadano Notable Suplente;
Licenciado LUIS MORALES CHUA, Asesor Juridico;

CONCILIADOR: Monsenor RODOLFO QUEZADA TORUNO, Presidente de la CNR;","Page 2, Untitled Preamble
The Delegation of the Political Parties of Guatemala and the Unidad Revolucionaria Nacional Guatemalteca (URNO), in the presence of the Conciliator, Monsignor Radolfo Quesada Torulio of the National Reconciliation Commission of Guatemala (CNR), and the Observer designated by the Secretary-General of the United Nations, Dr. Frencesc Vendrell, meeting from 27 May to 1 June 1990, for the purpose of implementing the decisions taken in the city of Oslo, Norway, and contained in the ""Basic Agreement for the Search for Peace by Political Means"" and with the aim of specifying actions and political means for the peaceful solution of the national problems and the enhancement of functional and participatory democracy in Guatemala,

Page 2, State:
that, within the framework of the Oslo, Norway, and Esquipulas II Agreements and having regard to the constitutional framework in effect in the Republic of Guatemala and to the express will to achieve a firm and lasting peace in our country,

Page 2, They agree:
1. To ratify in its totality the ""Basic Agreement for the Search for. Peace by Political Means"", signed in the city of Oslo, Norway, on 30 March 1990, by the delegation of the National Reconciliation Commission of Guatemala (CNR) and the delegation of the Unidad Revolucionaria Nacional Guatemalteca (URNO).

Page 3, They agree:
5. With the aim of ensuring as soon as possible actions that will make it possible to achieve the goals of the process of peace and the enhancement of the democracy, it is decided to hold periodical meetings between the Delegation of the Political Parties and the Unidad Revolucionaria Nacional Guatemalteca (URNG), within the framework of the Oslo, Norway, and Esquipulas II Agreements, using the same mechanisms for the appointment, verification and mandating Of the Conciliator as are established in the first-mentioned Agreement and United Nations observers.",GTM,,233.0,,,809,No,"A short agreement focused on encouraging political participation by all parties, and makes reference to the need for associated political and institutional reforms.",Intrastate,"Framework-substantive, partial",3,Substantive Partial,El Escorial Agreement (01/06/1990),https://pax.peaceagreements.org/agreements/704/,https://pax.peaceagreements.org/agreements/coding704/,https://pax.peaceagreements.org/media/documents/ag704_57d9ec323dbac.pdf,1990
Morocco/(Western Sahara),Government/territory,77,Morocco-Western Sahara peace process,Middle East and North Africa,1247,1,Implementation plan proposed by the Secretary-General pursuant to Security Council resolution 621 (1988) of September 1988,1990-06-18,Unilateral document,14.0,33064,InterIntra,Imp,ImpMod,"Parties are not listed, however the intended parties are Morocco & the Frente POLISARIO.","Parties are not listed, however the report has been prepared by the UN Secretary-General in consultation with the Chairman of the Organization of African Unity.",,MAR,,331.0,,,,No,"An implementation plan proposed after negotiation with the parties, for the implementation of the Proposals by the Secretary-General of the United Nations and the current Chairman of the Assembly of Heads of State and Government of the Organization of African Unity aimed at a settlement of the question of Western Sahara accepted in principle by the parties on 30 August 1988",Interstate/mixed,Implementation,5,Implementation,Implementation plan proposed by the Secretary-General pursuant to Security Council resolution 621 (1988) of September 1988 (18/06/1990),https://pax.peaceagreements.org/agreements/1247/,https://pax.peaceagreements.org/agreements/coding1247/,https://pax.peaceagreements.org/media/documents/ag1247_57aa149ee8078.pdf,1990
Mozambique,Government,78,Mozambique process in the 90s,Africa (excl MENA),419,1,Joint Communiqué,1990-07-10,Multiparty signed/agreed,4.0,2784,Intra,Pre,Prin,"For the delegation of the Government of the People's Republic of Mozambique: Armando Emilio Guebuza;
For the delegation of RENAMO:: Raul Manuel Domingos;","[Observers: (Signed)
San Egidio, Rome, 10 July 1990
Observers: (Signed)",,MOZ,,332.0,,,818,No,A short agreement within which the parties reaffirm their commitment to resolving the conflict. The parties express their willingness to do everything possible to search for peace and agree to engage in dialogue in a spirit of mutual understanding.,Intrastate,Pre-negotiation,1,Pre-negotiation,Joint Communiqué (10/07/1990),https://pax.peaceagreements.org/agreements/419/,https://pax.peaceagreements.org/agreements/coding419/,https://pax.peaceagreements.org/media/documents/ag419_57220216c7dc9.pdf,1990
El Salvador,Government,36,El Salvador peace process,Americas,265,1,Agreement on Human Rights,1990-07-26,Multiparty signed/agreed,6.0,10444,Intra,SubPar,Iss,"Govt of El Salvador, FMLN","UN rep, Alvaro de Soto (signatory)","Page 4, II. INTERNATIONAL VERIFICATION
10. In. accordance with the provisions of the Geneva Agreement and the agenda for the negotiations which was adopted in Caracas, the Parties hereby agree to the terms of reference for the United Nations human rights verification mission (hereinafter referred to as ""the Mission""), as set out below.",SLV,,316.0,1104,,817,No,"Agreed on respect for and guarantee of human rights, including steps to avoid any attempt on life, integrity, security or freedom of the individual and certain immediate measures to guarantee the freedom and integrity of persons arrested.  Provided for determination of procedures and timetables for release of political prisoners and guarantees of right to associate freely with others; freedom of expression; and of the press and freedom of movement.  Agreed to provide displaced persons and returnees with identity documents; to guarantee their freedom of movement; freedom to carry out economic activities; to exercise their political and social rights; as well as to consider guaranteeing effective enjoyment of labour rights.  Also agreed on terms of reference for the UN human rights verification mission. Preliminary human rights agreement, not exhaustive, and subject to agreement of package of political arrangements laid out in General Agenda (see above)",Intrastate,"Framework-substantive, partial",3,Substantive Partial,Agreement on Human Rights (26/07/1990),https://pax.peaceagreements.org/agreements/265/,https://pax.peaceagreements.org/agreements/coding265/,https://pax.peaceagreements.org/media/documents/ag265_57f761ffd2724.pdf,1990
Papua New Guinea/(Bougainville),Government/territory,9,Bougainville: peace process,Asia and Pacific,377,1,Endeavour Accord,1990-08-05,Multiparty signed/agreed,1.0,2401,Intra,Imp,ExtSub,"Michael Somare, Leader, National Government Delegation;
Joseph Kabui, Leader, Bougainville Delegation;","Intl observers from Canada, Vanuatu, and New Zealand [signing unclear]",,PNG,,369.0,1557,,854,No,Short agreement concerning return of essential services to Bougainville.,Intrastate,Implementation,5,Implementation,Endeavour Accord (05/08/1990),https://pax.peaceagreements.org/agreements/377/,https://pax.peaceagreements.org/agreements/coding377/,https://pax.peaceagreements.org/media/documents/ag377_5603d9e4c9471.pdf,1990
South Africa,Government,105,South Africa peace process,Africa (excl MENA),490,1,Pretoria Minute,1990-08-06,Multiparty signed/agreed,3.0,5179,Intra,Pre,PreMix,"SAG, ANC",,"Page 1,
1. The Government and the ANC have again committed themselves to the Groote Schuur Minute.",ZAF,,345.0,1394,,,No,Agreement establishing guidelines for prisoner release and amnesty established by the Groot Schuur working group (appended); Parties task working group to agree an implementation plan. The ANC agrees to a ceasefire.,Intrastate,Pre-negotiation,1,Pre-negotiation,Pretoria Minute (06/08/1990),https://pax.peaceagreements.org/agreements/490/,https://pax.peaceagreements.org/agreements/coding490/,https://pax.peaceagreements.org/media/documents/ag490_55fad43263e57.pdf,1990
